Loading,Timepoint,integrated visible,808 abs
0,0h,0.09619390264,0.20806028316986772
0,40h,0.09619390264,0.19836557290840484
1e-6,0h,0.10097826622,0.21318108247072
1e-6,40h,0.10217429388,0.2109226776370885
1e-5,0h,0.18256392417,0.3598394787348833
1e-5,40h,0.17925966078,0.3462282221567807
1e-4,0h,0.99206430787,1.9369429296246432
1e-4,40h,1,1.9090837465551893
